data,n,m
LSC2LS,3,0
DMN37143LS,99,0
SPARSQUR,10000,0
PALMER7C,8,0
MODBEALE,20000,0
PENALTY2,200,0
BA-L49LS,23769,0
STREG,4,0
CLUSTERLS,2,0
QUARTC,5000,0
EG2,1000,0
HIMMELBG,2,0
YATP2CLS,123200,0
VANDANMSLS,22,0
KSSLS,1000,0
EXP2,2,0
ENGVAL1,5000,0
HATFLDD,3,0
MGH09LS,4,0
POWELLSQLS,2,0
YFITU,3,0
HATFLDFL,3,0
WAYSEA1,2,0
LUKSAN13LS,98,0
INDEF,5000,0
POWELLSG,5000,0
LRW1A,300,0
DMN15102LS,66,0
SINQUAD,5000,0
ECKERLE4LS,3,0
CURLY20,10000,0
JIMACK,3549,0
CHNROSNB,50,0
DIAMON3DLS,99,0
LANCZOS3LS,6,0
POWELLBSLS,2,0
EDENSCH,2000,0
PENALTY1,1000,0
DANIWOODLS,2,0
MSQRTALS,1024,0
EIGENBLS,2550,0
ROSENBRTU,2,0
QING,100,0
CHNRSNBM,50,0
GBRAINLS,2,0
MISRA1CLS,2,0
ERRINROS,50,0
DIXMAANB,3000,0
DENSCHNE,3,0
ALLINITU,4,0
GULF,3,0
MGH10LS,3,0
BENNETT5LS,3,0
FREUROTH,5000,0
CERI651DLS,7,0
THURBERLS,7,0
DEVGLA2,5,0
EXTROSNB,1000,0
TQUARTIC,5000,0
CHWIRUT1LS,3,0
ARGLINB,200,0
DIXMAANF,3000,0
SCOSINE,5000,0
MNISTS0LS,494,0
DIXMAANJ,3000,0
JUDGE,2,0
SBRYBND,5000,0
LUKSAN22LS,100,0
BOX3,3,0
WATSON,12,0
HATFLDGLS,25,0
DIXMAANH,3000,0
PALMER1C,8,0
LUKSAN12LS,98,0
AKIVA,2,0
MGH17LS,5,0
DENSCHNB,2,0
DIXMAANM1,3000,0
NCB20,5010,0
MISRA1ALS,2,0
CURLY30,10000,0
MANCINO,100,0
TOINTGOR,50,0
HEART8LS,8,0
BRKMCC,2,0
BA-L1LS,57,0
BROYDN3DLS,5000,0
MEXHAT,2,0
S308,2,0
FMINSRF2,5625,0
SPIN2LS,102,0
DMN15103LS,99,0
SSCOSINE,5000,0
BA-L16LS,66462,0
SSBRYBND,5000,0
LIARWHD,5000,0
CHAINWOO,4000,0
OSCIGRAD,100000,0
CHWIRUT2LS,3,0
CLIFF,2,0
MGH10SLS,3,0
DIAMON2DLS,66,0
HATFLDFLS,3,0
CERI651BLS,7,0
COATING,134,0
LSC1LS,3,0
BROWNDEN,4,0
HIMMELBF,4,0
YATP1CLS,123200,0
STRTCHDV,10,0
LRCOVTYPE,54,0
METHANB8LS,31,0
DMN37142LS,66,0
PENALTY3,200,0
DIXMAANP,3000,0
BRYBND,5000,0
GAUSSIAN,3,0
DENSCHND,3,0
DIXMAAND,3000,0
VAREIGVL,5000,0
PALMER2C,8,0
HYDC20LS,99,0
HIMMELBCLS,2,0
SINEVAL,2,0
CERI651CLS,7,0
